Word(s),Spoken Form (If Different)
num,numb
trc,tree
camdar,candor
S2A,star
S2T,estate
messed,nest
diff,death
hard brake,heartbreak
reportability,report ability
top K,top ka
magit,magic
Yanda,yonder
a PR,apr
eval,evil
Haomin,humming
loss weighting,loss waiting
MLab,em lab
vignettes,vines
vignette,benet
bazel,Basel
calibrate,calibre
bool,fool
diff,tiff
sync,sink
Steven,Stephen
would,wood
and,aunt
to,too
JIRA,cheer
Jira,Gera
sensor,censor
see,se
see,sea
these,bees
vs,verses
remex,remix
yeah,ya
[nit],knit
Slack,sock
track,tract
PRs,piers
lidar,lighter
shell,shall
mac,mack
console,consul
planner,planer
learned,learnt
learned,Learned
Lightbox,light box
error,err
facade
labelset
tech
VRU,rue
issueset
issuesets
Davis
I'd
rgardner
Craig
Elena
Aurora
CLI
maybe
queue
classifier
lidar
rows
